कथक और बिरजू महाराज के बीच क्या संबंध है ?,पर्यायवाची,गुरु-शिष्य,दोस्त,कोई संबंध नहीं,a
कथक नृत्य के किस घराने से बिरजू महाराज संबंध रखते हैं ?,जयपुर घराना,लखनऊ घराना,बनारस घराना,पटियाला घराना,b
'नटरंग' पत्रिका के संपादक कौन हैं ?,रश्मि वाजपेयी,कपिला जी,लीला कृपलानी,माधुरी बाला,a
रश्मि वाजपेयी किस क्षेत्र में प्रसिद्ध हैं ?,नृत्य,संगीत,रंगकर्म,लेखन,c
बिरजू महाराज का जन्म कब हुआ था ?,4 फरवरी 1938,10 अक्टूबर 1942,5 जनवरी 1945,15 अगस्त 1930,a
बिरजू महाराज का जन्म कहाँ हुआ था ?,दिल्ली,रामपुर,लखनऊ के जफरीन अस्पताल,पटियाला,c
बिरजू महाराज के पिता कितने वर्षों तक रामपुर में रहे ?,15 साल,22 साल,25 साल,20 साल,b
छह साल की उम्र में बिरजू महाराज किसे पसंद आ गए थे ?,नवाब साहब,राजा साहब,गुरुजी,अध्यापक,a
नवाब साहब के यहाँ बिरजू महाराज को क्या पहनना पड़ता था ?,धोती-कुर्ता,चूड़ीदार पैजामा,शेरवानी,पगड़ी और धोती,b
बिरजू महाराज ने दिल्ली में किस संस्थान में काम किया ?,भारतीय संगीत नाटक अकादमी,हिंदुस्तानी डांस म्यूजिक,दिल्ली विश्वविद्यालय,कपिला जी का स्कूल,b
बिरजू महाराज को किसने तबला बजाना सिखाया ?,बाबूजी,माता जी,चाचा जी,कपिल जी,a
जुबली टॉकीज दिल्ली के बड़े सम्मेलन में बिरजू महाराज को क्यों बुलाया गया था ?,तबला बजाने के लिए,नृत्य प्रदर्शन के लिए,भाषण देने के लिए,गीत गाने के लिए,b
बिरजू महाराज के पहले गुरु कौन थे ?,बाबूजी,उनकी माँ,उनके भाई,लीला कृपलानी,a
बिरजू महाराज के व्यक्तित्व की विशेषता क्या थी ?,गंभीरता,सहज-निष्कपट स्वभाव,अकड़पन,क्रोधी स्वभाव,b
बाबूजी के निधन होने के समय बिरजू महाराज कितने वर्ष के थें?,साढ़े सात,पोने आठ,साढ़े नौ,पोने नौ,b 
बिरजू महाराज के बाबूजी का आखिरी प्रोग्राम कहाँ हुआ था ?,रामपुर,लखनऊ,गैनपुरी,मैनपुरी,c
बिरजू महाराज के बाबूजी की मृत्यु किस उम्र में हुई थी ?,50 साल,54 साल,60 साल,58 साल,b
बिरजू महाराज के बाबूजी को लू कहाँ लगी थी ?,रामपुर,मैनपुरी,गैनपुरी,लखनऊ,b
बिरजू महाराज के बाबूजी की कौन-सी बीमारी थी ?,हृदय रोग,शुगर,दमा,कैंसर,b
बिरजू महाराज को तालीम किससे मिली ?,माताजी,शंभू महाराज,बाबूजी,रश्मि बाजपेयी,c
बिरजू महाराज को गंडा किसने बांधा ?,नवाब साहब,बाबूजी,उनके गुरु,शंभू महाराज,b
गंडा बांधने के लिए बिरजू महाराज को कितने रुपये का नजराना देना पड़ा ?,200 रुपये,300 रुपये,500 रुपये,700 रुपये,c
गंडा बांधने के समय बिरजू महाराज के साथ और कौन था ?,जगत कहार,राम प्रसाद,गोपाल,रश्मि वाजपेयी,a
बिरजू महाराज का गंडा बांधने की रस्म कहाँ हुई थी ?,दिल्ली,लखनऊ,रामपुर,मैनपुरी,b
आर्यनगर में बिरजू महाराज ने कितने रुपये की दो ट्यूशन की थी ?,20-20,25-25,30-30,50-50,b
